"B1_x","B1_y","N_x","N_y","B_x","B_y"
2.16,0.8912037037,2.16,1.30969697,2.16,1.16720679,
2.17,0.8870967742,2.17,1.311818182,2.17,1.163709677,
2.18,0.8830275229,2.18,1.313939394,2.18,1.160244648,
2.19,0.8789954338,2.19,1.316060606,2.19,1.156811263,
2.2,0.875,2.2,1.318181818,2.2,1.153409091,
2.21,0.871040724,2.21,1.32030303,2.21,1.150037707,
2.22,0.8671171171,2.22,1.322424242,2.22,1.146696697,
2.23,0.8632286996,2.23,1.324545455,2.23,1.14338565,
2.24,0.859375,2.24,1.326666667,2.24,1.140104167,
2.25,0.8555555556,2.25,1.328787879,2.25,1.136851852,
2.26,0.8517699115,2.26,1.330909091,2.26,1.133628319,
2.27,0.8480176211,2.27,1.333030303,2.27,1.130433186,
2.28,0.8442982456,2.28,1.335151515,2.28,1.127266082,
2.29,0.8406113537,2.29,1.337272727,2.29,1.124126638,
2.3,0.8369565217,2.3,1.339393939,2.3,1.121014493,
2.31,0.8333333333,2.31,1.341515152,2.31,1.117929293,
2.32,0.8297413793,2.32,1.343636364,2.32,1.11487069,
2.33,0.8261802575,2.33,1.345757576,2.33,1.11183834,
2.34,0.8226495726,2.34,1.347878788,2.34,1.108831909,
2.35,0.8191489362,2.35,1.35,2.35,1.105851064,
2.36,0.8156779661,2.36,1.352121212,2.36,1.10289548,
2.37,0.8122362869,2.37,1.354242424,2.37,1.099964838,
2.38,0.8088235294,2.38,1.356363636,2.38,1.097058824,
2.39,0.8054393305,2.39,1.358484848,2.39,1.094177127,
2.4,0.8020833333,2.4,1.360606061,2.4,1.091319444,
2.41,0.7987551867,2.41,1.362727273,2.41,1.088485477,
2.42,0.7954545455,2.42,1.364848485,2.42,1.085674931,
2.43,0.79218107,2.43,1.366969697,2.43,1.082887517,
2.44,0.7889344262,2.44,1.369090909,2.44,1.080122951,
2.45,0.7857142857,2.45,1.371212121,2.45,1.077380952,
2.46,0.7825203252,2.46,1.373333333,2.46,1.074661247,
2.47,0.7793522267,2.47,1.375454545,2.47,1.071963563,
2.48,0.7762096774,2.48,1.377575758,2.48,1.069287634,
2.49,0.7730923695,2.49,1.37969697,2.49,1.066633199,
2.5,0.77,2.5,1.381818182,2.5,1.064,
2.51,0.7669322709,2.51,1.383939394,2.51,1.061387782,
2.52,0.7638888889,2.52,1.386060606,2.52,1.058796296,
2.53,0.7608695652,2.53,1.388181818,2.53,1.056225296,
2.54,0.7578740157,2.54,1.39030303,2.54,1.053674541,
2.55,0.7549019608,2.55,1.392424242,2.55,1.051143791,
2.56,0.751953125,2.56,1.394545455,2.56,1.048632812,
2.57,0.7490272374,2.57,1.396666667,2.57,1.046141375,
2.58,0.746124031,2.58,1.398787879,2.58,1.043669251,
2.59,0.7432432432,2.59,1.400909091,2.59,1.041216216,
2.6,0.7403846154,2.6,1.403030303,2.6,1.038782051,
2.61,0.7375478927,2.61,1.405151515,2.61,1.036366539,
2.62,0.7347328244,2.62,1.407272727,2.62,1.033969466,
2.63,0.7319391635,2.63,1.409393939,2.63,1.031590621,
2.64,0.7291666667,2.64,1.411515152,2.64,1.029229798,
2.65,0.7264150943,2.65,1.413636364,2.65,1.026886792,
2.66,0.7236842105,2.66,1.415757576,2.66,1.024561404,
2.67,0.7209737828,2.67,1.417878788,2.67,1.022253433,
2.68,0.7182835821,2.68,1.42,2.68,1.019962687,
2.69,0.7156133829,2.69,1.422121212,2.69,1.017688971,
2.7,0.712962963,2.7,1.424242424,2.7,1.015432099,
2.71,0.7103321033,2.71,1.426363636,2.71,1.013191882,
2.72,0.7077205882,2.72,1.428484848,2.72,1.010968137,
2.73,0.7051282051,2.73,1.430606061,2.73,1.008760684,
2.74,0.7025547445,2.74,1.432727273,2.74,1.006569343,
2.75,0.7,2.75,1.434848485,2.75,1.004393939,
2.76,0.6974637681,2.76,1.436969697,2.76,1.0022343,
2.77,0.6949458484,2.77,1.439090909,2.77,1.000090253,
2.78,0.6924460432,2.78,1.441212121,2.78,0.9979616307,
2.79,0.6899641577,2.79,1.443333333,2.79,0.9958482676,
2.8,0.6875,2.8,1.445454545,2.8,0.99375,
2.81,0.6850533808,2.81,1.447575758,2.81,0.9916666667,
2.82,0.6826241135,2.82,1.44969697,2.82,0.9895981087,
2.83,0.6802120141,2.83,1.451818182,2.83,0.9875441696,
2.84,0.6778169014,2.84,1.453939394,2.84,0.9855046948,
2.85,0.6754385965,2.85,1.456060606,2.85,0.9834795322,
2.86,0.6730769231,2.86,1.458181818,2.86,0.9814685315,
2.87,0.6707317073,2.87,1.46030303,2.87,0.9794715447,
2.88,0.6684027778,2.88,1.462424242,2.88,0.9774884259,
2.89,0.6660899654,2.89,1.464545455,2.89,0.9755190311,
2.9,0.6637931034,2.9,1.466666667,2.9,0.9735632184,
2.91,0.6615120275,2.91,1.468787879,2.91,0.9716208477,
2.92,0.6592465753,2.92,1.470909091,2.92,0.9696917808,
2.93,0.656996587,2.93,1.473030303,2.93,0.9677758817,
2.94,0.6547619048,2.94,1.475151515,2.94,0.9658730159,
2.95,0.6525423729,2.95,1.477272727,2.95,0.9639830508,
2.96,0.6503378378,2.96,1.479393939,2.96,0.9621058559,
2.97,0.6481481481,2.97,1.481515152,2.97,0.9602413019,
2.98,0.6459731544,2.98,1.483636364,2.98,0.9583892617,
2.99,0.643812709,2.99,1.485757576,2.99,0.9565496098,
3,0.6416666667,3,1.487878788,3,0.9547222222,
3.01,0.6395348837,3.01,1.49,3.01,0.9529069767,
3.02,0.6374172185,3.02,1.492121212,3.02,0.9511037528,
3.03,0.6353135314,3.03,1.494242424,3.03,0.9493124312,
3.04,0.6332236842,3.04,1.496363636,3.04,0.9475328947,
3.05,0.631147541,3.05,1.498484848,3.05,0.9457650273,
