B_x,B_y
1.92,1.262065972
1.93,1.257642487
1.94,1.253264605
1.95,1.248931624
1.96,1.244642857
1.97,1.240397631
1.98,1.236195286
1.99,1.232035176
2,1.227916667
2.01,1.223839138
2.02,1.21980198
2.03,1.215804598
2.04,1.211846405
2.05,1.207926829
2.06,1.204045307
2.07,1.200201288
2.08,1.196394231
2.09,1.192623604
2.1,1.188888889
2.11,1.185189573
2.12,1.181525157
2.13,1.177895149
2.14,1.174299065
2.15,1.170736434
2.16,1.16720679
2.17,1.163709677
2.18,1.160244648
2.19,1.156811263
2.2,1.153409091
2.21,1.150037707
2.22,1.146696697
2.23,1.14338565
2.24,1.140104167
2.25,1.136851852
2.26,1.133628319
2.27,1.130433186
2.28,1.127266082
2.29,1.124126638
2.3,1.121014493
2.31,1.117929293
2.32,1.11487069
2.33,1.11183834
2.34,1.108831909
2.35,1.105851064
2.36,1.10289548
2.37,1.099964838
2.38,1.097058824
2.39,1.094177127
2.4,1.091319444
2.41,1.088485477
2.42,1.085674931
2.43,1.082887517
2.44,1.080122951
2.45,1.077380952
2.46,1.074661247
2.47,1.071963563
2.48,1.069287634
2.49,1.066633199
2.5,1.064
2.51,1.061387782
2.52,1.058796296
2.53,1.056225296
2.54,1.053674541
2.55,1.051143791
2.56,1.048632812
2.57,1.046141375
2.58,1.043669251
2.59,1.041216216
2.6,1.038782051
2.61,1.036366539
2.62,1.033969466
2.63,1.031590621
2.64,1.029229798
2.65,1.026886792
2.66,1.024561404
2.67,1.022253433
2.68,1.019962687
2.69,1.017688971
2.7,1.015432099
2.71,1.013191882
2.72,1.010968137
2.73,1.008760684
2.74,1.006569343
2.75,1.004393939
2.76,1.0022343
2.77,1.000090253
2.78,0.997961631
2.79,0.995848268
2.8,0.99375
2.81,0.991666667
2.82,0.989598109
2.83,0.98754417
2.84,0.985504695
2.85,0.983479532
2.86,0.981468532
2.87,0.979471545
2.88,0.977488426
2.89,0.975519031
2.9,0.973563218
2.91,0.971620848
2.92,0.969691781
2.93,0.967775882
2.94,0.965873016
2.95,0.963983051
2.96,0.962105856
2.97,0.960241302
2.98,0.958389262
2.99,0.95654961
3,0.954722222
3.01,0.952906977
3.02,0.951103753
3.03,0.949312431
3.04,0.947532895
3.05,0.945765027
3.06,0.944008715
3.07,0.942263844
3.08,0.940530303
3.09,0.938807983
3.1,0.937096774
3.11,0.93539657
3.12,0.933707265
3.13,0.932028754
3.14,0.930360934
3.15,0.928703704
3.16,0.927056962
3.17,0.92542061
3.18,0.923794549
3.19,0.922178683
3.2,0.920572917
3.21,0.918977155
3.22,0.917391304
3.23,0.915815274
3.24,0.914248971
3.25,0.912692308
3.26,0.911145194
3.27,0.909607543
3.28,0.908079268
3.29,0.906560284
3.3,0.905050505
3.31,0.903549849
3.32,0.902058233
3.33,0.900575576
3.34,0.899101796
3.35,0.897636816
3.36,0.896180556
3.37,0.894732938
3.38,0.893293886
3.39,0.891863324
3.4,0.890441177
3.41,0.889027371
3.42,0.887621832
3.43,0.88622449
3.44,0.884835271
3.45,0.883454106
3.46,0.882080925
3.47,0.880715658
3.48,0.879358238
3.49,0.878008596
3.5,0.876666667
3.51,0.875332384
3.52,0.874005682
3.53,0.872686497
3.54,0.871374765
3.55,0.870070423
3.56,0.868773408
3.57,0.86748366
3.58,0.866201117
3.59,0.86492572
3.6,0.863657407
3.61,0.862396122
3.62,0.861141805
3.63,0.859894399
3.64,0.858653846
3.65,0.857420091
3.66,0.856193078
3.67,0.854972752
3.68,0.853759058
3.69,0.852551942
3.7,0.851351351
3.71,0.850157233
3.72,0.848969534
3.73,0.847788204
3.74,0.846613191
3.75,0.845444444
3.76,0.844281915
3.77,0.843125553
3.78,0.841975309
3.79,0.840831135
3.8,0.839692983
3.81,0.838560805
3.82,0.837434555
3.83,0.836314186
3.84,0.835199653
3.85,0.834090909
3.86,0.83298791
3.87,0.831890612
3.88,0.830798969
3.89,0.829712939
3.9,0.828632479
3.91,0.827557545
3.92,0.826488095
3.93,0.825424088
3.94,0.824365482
3.95,0.823312236
3.96,0.82226431
3.97,0.821221663
